CVE,DESCRIP
1,Hasta 14 horas
2,Más de 14 a 28 horas
3,Más de 28 hasta 36 horas
4,Más de 36 a 48 horas
5,Más de 48 horas
6,No tiene horario regular de trabajo
7,No especificado
