CVE,DESCRIP
1,El hogar necesita de su aportación económica
2,El hogar necesita de su trabajo
3,Aprender un oficio
4,Para pagar su escuela y/o sus propios gastos
5,Por gusto o solo por ayudar
6,"Pago de deudas, no estudia y otra razón"
