CVE,DESCRIP
1,Tendría que contratarse a alguien para que lo supliera
2,El ingreso económico del hogar se vería afectado
3,La carga de trabajo sería más pesada para los demás
4,El hogar tendría que destinar ingreso para gasto del niño
5,Otra consecuencia
6,No habría consecuencia
7,No especificado
