CVE,DESCRIP
1,No tendría dinero para vestirse y calzarse
2,No tendría dinero para su diversión o gastos
3,No aprendería un oficio
4,Volvería a la escuela o los quehaceres del hogar
5,Se volvería irresponsable o andaría de vago
6,Se dedicaría a jugar o hacer deporte y otra consecuencia
7,No habría consecuencia
8,No especificado
